Prix,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Puissance fiscale,Nombre de portes,Origine,Première main,État,equip_Jantes aluminium,equip_Caméra de recul,equip_ESP,equip_Régulateur de vitesse,equip_CD/MP3/Bluetooth,equip_Vitres électriques,equip_Aucun,equip_Radar de recul,equip_Ordinateur de bord,equip_Système de navigation/GPS,equip_ABS,equip_Limiteur de vitesse,equip_Airbags,equip_Verrouillage centralisé à distance,equip_Climatisation,equip_Sièges cuir,equip_Toit ouvrant,Carburant_encoded,Origine_Dédouanée,Origine_Importée neuve,Origine_Inconnue,Origine_Pas encore dédouanée,Origine_WW au Maroc,État_encoded
150000,2012,0,Diesel,225000,Nissan,Autres,10.0,5,WW au Maroc,0,Très bon,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
198000,2014,1,Diesel,195000,Audi,Q3,8.0,5,WW au Maroc,0,Très bon,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
150000,2021,0,Diesel,115000,Renault,Clio,6.0,5,Inconnue,0,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7994797159530338,0.0,0.0,1.0,0.0,0.0,2
140000,2019,0,Diesel,82500,Peugeot,308,6.0,5,WW au Maroc,0,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
280000,2020,1,Diesel,105000,Hyundai,Tucson,6.0,5,WW au Maroc,0,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
152000,2021,1,Diesel,135000,Renault,Clio,6.0,5,WW au Maroc,0,Très bon,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
147000,2020,0,Diesel,135000,Hyundai,Accent,6.0,5,WW au Maroc,0,Moyen,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,1
190000,2021,0,Diesel,42500,Hyundai,i30,6.0,5,WW au Maroc,0,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
143000,2020,0,Diesel,67500,Citroen,Berlingo,6.0,5,WW au Maroc,1,Très bon,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
180000,2022,0,Diesel,27500,Opel,Corsa,6.0,5,WW au Maroc,0,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
